problem_id,submission_id_v0,speedup,p_value_0.05pct,run
p02983,s922780742,4.349269818370218,4.829715515130863e-30,1
p03416,s339057919,1.3258053616536327,1.3778952631821632e-25,1
p02555,s871406737,1.1238631434040016,4.0748893479027473e-17,1
p02881,s806961932,1.1032696033923528,2.847949260421874e-16,1
p02994,s647144203,4.611498626855728,2.0712471735527296e-27,1
p03608,s000797516,1.1824938609622289,4.9195293910338266e-27,1
p02615,s106486265,4.621413826498572,3.5340265671457556e-31,1
p03752,s912626788,4.320488902252345,4.995685628676902e-26,1
p02772,s645978955,4.318160012748783,1.1422381377250623e-38,1
p03172,s523132470,1.4880258698165847,4.264951830316459e-28,1
p02916,s992896151,4.442860705137326,6.239786162265563e-36,1
p03806,s948329967,1.4898538647262238,2.687759046357737e-22,1
p03796,s262574211,2.4146680081504304,3.6180417267311123e-38,1
p00053,s391855332,4.623660854140874,1.3308449114296972e-27,1
p03494,s321227388,4.764285925943287,3.9169923314874317e-29,1
p03162,s320395863,4.947693327020364,2.3535322386127665e-32,1
p03796,s258128729,2.1036201234787852,3.3990900564417105e-40,1
p03013,s757552767,4.392680908395967,1.065597561857668e-28,2
p02952,s923935687,1.0870593395514296,3.0897395723963107e-21,2
p03162,s443943241,4.431854923,1.4157286748791657e-28,2
p03038,s890208193,1.4048294558448169,7.531544386407892e-32,2
p03796,s983655328,2.2722931185748014,8.623970991339435e-30,2
p02883,s516001124,1.2118615230455614,6.650336741885758e-32,2
p02886,s933480835,4.313046403945992,7.196758031695685e-31,2
p02994,s517208919,4.582577375866111,3.8288054790028354e-26,2
p02555,s706729835,1.2984133251429444,1.000162283315114e-27,2
p03250,s114284602,4.799932230033938,3.2366903782056476e-31,2
p03039,s835548762,1.6044172739304023,2.4988742878418798e-29,2
p02596,s961921352,1.196553913831601,4.615785131796766e-25,2
p03796,s155084707,1.8627909166424743,3.110042780393989e-32,2
p03845,s045706452,1.0690430083537883,3.430708528215676e-14,2
p02700,s232689719,1.1541444607799762,2.671143511169132e-23,2
p03060,s481970450,4.355247615627514,2.7826590070949456e-29,2
p02883,s662154758,4.800658052722327,1.615403252884403e-28,2
p03434,s569031277,4.343908681170705,5.8185884775807895e-25,2
p02983,s509898718,4.673761563081892,5.016478709030496e-27,2
p03796,s234232673,1.072017011431705,7.609166325762654e-14,2
p03796,s127994042,2.049388875649497,2.5277674189914376e-27,2
p03371,s272710522,1.2535137623952672,5.33804081889135e-30,2
p03796,s922366861,2.0247260101236875,3.3664655723938665e-23,2
p02983,s922780742,4.2990699039723905,9.869577913451853e-32,2
p03416,s339057919,1.3341035437783764,2.3226697790948883e-24,2
p02837,s559335403,1.0695461516951423,1.0264352853538715e-13,2
p02881,s806961932,1.2102782815417241,5.1130605009500484e-34,2
p02994,s647144203,4.662741802084989,4.553833735807176e-35,2
p03752,s912626788,4.3751224009149565,6.324623331934142e-32,2
p02916,s992896151,4.279731095147841,5.292967035160133e-26,2
p03835,s871403539,1.0893271301802279,1.7887540569581173e-21,2
p03806,s948329967,1.5453658354109572,4.209513160002097e-24,2
p03796,s262574211,2.3650351936990353,3.955000157766791e-30,2
p00053,s391855332,4.3339571394584135,3.7091951267391876e-30,2
p03494,s321227388,4.5878917046741154,6.057958490921004e-29,2
p03162,s595235842,1.194245174752155,3.4872015392727423e-31,2
p03720,s310815601,1.1060647633102842,1.3807854662062038e-25,2
p03796,s258128729,2.0718038185920147,4.518388344977836e-36,2
p03013,s757552767,4.483450287599615,5.437584557662961e-25,3
p03039,s732762289,1.1254151321947914,5.097515293567006e-27,3
p03835,s859897716,1.1421126424688024,1.4954224177284604e-27,3
p03796,s983655328,2.152098974118473,2.9640830055786367e-30,3
p02886,s933480835,4.396639773328986,9.616747665529611e-34,3
p02994,s517208919,4.312758486644638,6.422351739803093e-44,3
p02555,s706729835,1.328914608761513,2.0016427294025474e-24,3
p03250,s114284602,4.472949985380486,2.2951894597218912e-23,3
p03039,s835548762,1.6879695927192337,1.8537695752637135e-40,3
p03457,s956976175,1.2086732548056944,3.9456247322107597e-26,3
p03796,s155084707,2.470566698078089,1.2024533091765692e-29,3
p02700,s232689719,1.0598719704119404,1.8484123661985164e-10,3
p03060,s481970450,4.388001447904512,7.756813565949841e-27,3
p03494,s252753387,1.074198640605041,6.550898969291973e-14,3
p02883,s662154758,4.513107011,8.098573780584442e-29,3
p03434,s569031277,4.325077105214845,7.80545727329167e-27,3
p02983,s509898718,4.343988806,1.0765805032155344e-34,3
p03796,s234232673,1.2045544864510829,2.0161530684480715e-22,3
p03796,s127994042,2.308381630217232,1.4364017193182669e-27,3
p03796,s015060265,2.279594244364948,1.5317757061709435e-30,3
p03796,s922366861,2.054712163334851,5.391737608627979e-24,3
p02983,s922780742,4.641135478462658,1.950785701292452e-30,3
p03416,s339057919,1.169972944977025,9.114910667817864e-26,3
p03078,s323914382,1.0935061815764615,3.287763207741502e-18,3
p03559,s912886810,1.114008828357595,4.96546016338768e-25,3
p02881,s806961932,1.0725491433910164,3.936200908543216e-15,3
p02555,s264986040,1.159348391454487,2.255858768325211e-19,3
p03752,s912626788,4.205117451999538,5.066027753701367e-25,3
p02916,s992896151,4.357172018499544,2.7384108180647847e-42,3
p00053,s391855332,4.636460933715933,3.1927303052336097e-35,3
p03494,s321227388,4.365785018100856,9.24141772269611e-29,3
p02899,s948462743,1.099670082042102,1.1790042038672612e-17,3
p03796,s258128729,1.8382902023655225,2.46014572876108e-38,3
